TICKER,YEAR,QUARTER,AVG_FINBERT_NEGATIVE
AFL,2023,Q2,0.29150054454803465
AFL,2023,Q3,0.3643328621983528
AFL,2023,Q4,0.38745412429173787
AFL,2024,Q1,0.468838095664978
AFL,2024,Q2,0.32452107469240826
AFL,2024,Q3,0.1214727684855461
AIG,2007,Q2,0.104357467757331
AIG,2007,Q4,0.2116014315531804
AIG,2008,Q1,0.1728844940662384
AIG,2008,Q3,0.24830501729791815
AIG,2008,Q4,0.3862544000148773
AIG,2010,Q3,0.0
AIG,2010,Q4,0.3765428198708428
AIG,2011,Q1,0.5694071531295777
AIG,2011,Q2,0.5834464192390442
AIG,2011,Q3,0.47965800099902683
AIG,2011,Q4,0.07469799885383019
AIG,2012,Q1,0.14762085676193237
AIG,2012,Q2,0.17796330899000168
AIG,2012,Q3,0.1167035722732544
AIG,2012,Q4,0.041077109483572155
AIG,2013,Q1,0.034899426134009114
AIG,2013,Q2,0.0937754982396176
AIG,2013,Q3,0.5163406252861023
AIG,2013,Q4,0.0
AIG,2014,Q1,0.0
AIG,2014,Q2,0.10486215353012085
AIG,2014,Q3,0.0
AIG,2014,Q4,0.12111233919858932
AIG,2015,Q1,0.0959240992863973
AIG,2015,Q2,0.0
AIG,2015,Q3,0.3616923317313194
AIG,2015,Q4,0.061529465411838735
AIG,2016,Q1,0.11251396670633433
AIG,2016,Q2,0.14198837300826764
AIG,2016,Q3,0.13076201329628626
AIG,2016,Q4,0.13214984077673692
AIG,2017,Q1,0.23871309757232667
AIG,2017,Q2,0.10351661592721939
AIG,2017,Q3,0.14809649288654328
AIG,2017,Q4,0.1614067471689648
AIG,2018,Q1,0.22820821404457092
AIG,2018,Q2,0.14719208290702418
AIG,2018,Q3,0.15823733022338465
AIG,2018,Q4,0.1974452817440033
AIG,2019,Q1,0.05075399613961941
AIG,2019,Q2,0.15563185016314188
AIG,2019,Q3,0.1329828143119812
AIG,2019,Q4,0.13521824864780202
AIG,2020,Q1,0.1210956137095179
AIG,2020,Q2,0.189475721434543
AIG,2020,Q3,0.24275668923343932
AIG,2020,Q4,0.06670531740895023
AIG,2021,Q1,0.14778011043866476
AIG,2021,Q2,0.04345630244775252
AIG,2021,Q3,0.14322585393400752
AIG,2021,Q4,0.13406381536932552
AIG,2022,Q1,0.0708278461738869
AIG,2022,Q2,0.35049223303794863
AIG,2022,Q3,0.2522935211658478
AIG,2022,Q4,0.166623626436506
AIG,2023,Q1,0.22871658435234657
AIG,2023,Q2,0.16237261382544912
AIG,2023,Q3,0.0971717225468677
AIG,2023,Q4,0.059318766329023574
AIG,2024,Q1,0.18077030913396316
AIG,2024,Q2,0.15904159302061255
AIG,2024,Q3,0.23137867173483206
AIZ,2007,Q4,0.43359899520874023
AIZ,2008,Q1,0.04084969229168362
AIZ,2008,Q2,0.06556026140848796
AIZ,2008,Q3,0.14248253547009967
AIZ,2008,Q4,0.36287992275678194
AIZ,2009,Q1,0.1763162071054632
AIZ,2009,Q3,0.4146969062941416
AIZ,2009,Q4,0.28151045476689057
AIZ,2010,Q1,0.06571339236365424
AIZ,2010,Q2,0.0749657154083252
AIZ,2011,Q1,0.3131904818794944
AIZ,2011,Q2,0.3085294040766629
AIZ,2011,Q3,0.2800680100917816
AIZ,2011,Q4,0.059271395206451416
AIZ,2012,Q1,0.0
AIZ,2012,Q2,0.1391518541744777
AIZ,2012,Q3,0.161190303042531
AIZ,2012,Q4,0.11069881916046143
AIZ,2013,Q1,0.0
AIZ,2013,Q2,0.07199518084526062
AIZ,2013,Q3,0.0
AIZ,2013,Q4,0.22037616601357093
AIZ,2014,Q1,0.24375468492507935
AIZ,2014,Q2,0.2670418803508465
AIZ,2014,Q3,0.0
AIZ,2014,Q4,0.1874514639377594
AIZ,2015,Q1,0.0
AIZ,2015,Q2,0.17445029815038046
AIZ,2015,Q3,0.0
AIZ,2015,Q4,0.2205649455388387
AIZ,2016,Q1,0.17705172300338745
AIZ,2016,Q2,0.38542744517326355
AIZ,2016,Q3,0.2570532743747418
AIZ,2016,Q4,0.07476133108139038
AIZ,2017,Q1,0.49515117406845094
AIZ,2017,Q2,0.3158863719020571
AIZ,2017,Q3,0.745478648206462
AIZ,2017,Q4,0.2500952672958374
